contract,accept_rate,accept_low_sev_q,accept_high_sev_q,cream_skim_index,mean_surplus,mean_surplus_firstbest,welfare_gap,efficiency_ratio,mean_welfare,mean_welfare_firstbest,mean_income,sd_income,over_treat_rate,under_treat_rate,mean_effort_gap,mean_effort_ratio,mean_abs_effort_dev
ffs,1.0,1.0,1.0,0.0,0.13272146680055175,0.2707365160783067,0.13801504927775493,0.49022373754031745,-0.3686801641514941,-0.23066511487373914,0.7507055759599334,0.1765010572857439,1.0,0.0,0.5250819827573779,2.7200105822881695,0.5250819827573779
capitation,1.0,1.0,1.0,0.0,0.1010438811153867,0.2707365160783067,0.16969263496291997,0.3732185173209557,-0.4003577498366591,-0.23066511487373914,0.284394249345645,0.5272136007455224,0.0,0.99931,-0.4763431591457939,0.20802896994837772,0.4763431591457939
shared_savings,1.0,1.0,1.0,0.0,0.19747836706487834,0.2707365160783067,0.07325814901342834,0.7294116431924555,-0.3039232638871675,-0.23066511487373914,0.7825795909787647,0.22090767043103943,0.94335,0.05072,0.347596573742353,2.4641256685998827,0.36356622406854583
